mdate,key,author,editor,title,pages,year,volume,journal,number,url,ee,address,booktitle,month,cdrom,publisher,note,crossref,isbn,series,school,chapter,cite
2011-01-11,journalsactaAnderssonIKO90,Arne Andersson|Christian Icking|Rolf Klein|Thomas Ottmann,,nary Search Trees of Almost Optimal Height.,165-178,1990,28,Acta Inf.,2,db/journals/acta/acta28.html#AnderssonIKO90,http://dx.doi.org/10.1007/BF01237235,,,,,,,,,,,,journalsactaKhomenkoKKV06
2011-01-11,journalsactaSeidl89,Helmut Seidl,,On the Finite Degree of Ambiguity of Finite Tree Automata.,527-542,1989,26,Acta Inf.,6,db/journals/acta/acta26.html#Seidl89,http://dx.doi.org/10.1007/BF00263578,,,,,,,,,,,,journalsactaMilner96
2008-01-15,journalsactaNishimuraRS07,Naomi Nishimura|Prabhakar Ragde|Stefan Szeider,,Solving #SAT using vertex covers.,509-523,2007,44,Acta Inf.,7-8,db/journals/acta/acta44.html#NishimuraRS07,http://dx.doi.org/10.1007/s00236-007-0056-x,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaSeiferas77,Joel I. Seiferas,,Iterative Arrays with Direct Central Control.,177-192,1977,8,Acta Inf.,,db/journals/acta/acta8.html#Seiferas77,http://dx.doi.org/10.1007/BF00289248,,,,,,,,,,,,journalsactaBozapalidisFR12
2007-06-13,journalsactaDaiL07,Tian-Shyr Dai|Yuh-Dauh Lyuu,,An exact subexponential-time lattice algorithm for Asian options.,23-39,2007,44,Acta Inf.,1,db/journals/acta/acta44.html#DaiL07,http://dx.doi.org/10.1007/s00236-006-0033-9,,,,,,,,,,,,journalsactaKhomenkoKKV06
2011-01-11,journalsactaBecker87,Bernd Becker,,An Easily Testable Optimal-Time VLSI-Multiplier.,363-380,1987,24,Acta Inf.,4,db/journals/acta/acta24.html#Becker87,http://dx.doi.org/10.1007/BF00292108,,,,,,,,,,,,journalsactaHesselink13
2011-01-11,journalsactaHabermann73,A. Nico Habermann,,Critical Comments on the Programming Language Pascal.,47-57,1973,3,Acta Inf.,,db/journals/acta/acta3.html#Habermann73,http://dx.doi.org/10.1007/BF00288652,,,,,,,,,,,,journalsactaBozapalidisFR12
2011-01-11,journalsactaReps88,Thomas W. Reps,,Incremental Evaluation for Attribute Grammars with Unrestricted Movement Between Tree Modifications.,155-178,1988,25,Acta Inf.,2,db/journals/acta/acta25.html#Reps88,http://dx.doi.org/10.1007/BF00263583,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaBerry81,Daniel M. Berry,,Remarks on R. D. Tennent's Language Design Methods Based on Semantic Principles: Algol 68| A Language Designed Using Semantic Principles.,83-98,1981,15,Acta Inf.,,db/journals/acta/acta15.html#Berry81,http://dx.doi.org/10.1007/BF00269810,,,,,,,,,,,,journalsactaKhomenkoKKV06
2003-11-25,journalsactaEhrich73,Hans-Dieter Ehrich,,r partielle Boole'sche Funktionen,172-179,1973,2,Acta Inf.,,db/journals/acta/acta2.html#Ehrich73,,,,,,,,,,,,,journalsactaHesselink13
2013-11-28,journalsactaSchonhage71,nhage,,Schnelle Berechnung von Kettenbruchentwicklungen.,139-144,1971,1,Acta Inf.,,db/journals/acta/acta1.html#Schonhage71,http://dx.doi.org/10.1007/BF00289520,,,,,,,,,,,,journalsactaHesselink13
2008-11-18,journalsactaFanHS08,Chen-Ming Fan|Cheng-Chih Huang|Huei-Jan Shyr,,Regular autodense languages.,467-477,2008,45,Acta Inf.,7-8,db/journals/acta/acta45.html#FanHS08,http://dx.doi.org/10.1007/s00236-008-0078-z,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaOlderog81,diger Olderog,,Sound and Complete Hoare-like Calculi Based on Copy Rules.,161-197,1981,16,Acta Inf.,,db/journals/acta/acta16.html#Olderog81,http://dx.doi.org/10.1007/BF00261258,,,,,,,,,,,,journalsactaSimon83
2011-01-11,journalsactaNielsenRT92,Mogens Nielsen|Grzegorz Rozenberg|P. S. Thiagarajan,,Elementary Transition Systems and Refinement.,555-578,1992,29,Acta Inf.,6/7,db/journals/acta/acta29.html#NielsenRT92,http://dx.doi.org/10.1007/BF01185561,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaSchnorr76,Claus-Peter Schnorr,,The Network Complexity and the Turing Machine Complexity of Finite Functions.,95-107,1976,7,Acta Inf.,,db/journals/acta/acta7.html#Schnorr76,http://dx.doi.org/10.1007/BF00265223,,,,,,,,,,,,journalsactaSimon83
2008-08-08,journalsactaGodlinS08,Benny Godlin|Ofer Strichman,,Inference rules for proving the equivalence of recursive procedures.,403-439,2008,45,Acta Inf.,6,db/journals/acta/acta45.html#GodlinS08,http://dx.doi.org/10.1007/s00236-008-0075-2,,,,,,,,,,,,journalsactaSaxena96
2011-01-11,journalsactaEichner78a,Lutz Eichner,,The Semigroups of Linearly Realizable Finite Automata II.,369-390,1978,10,Acta Inf.,,db/journals/acta/acta10.html#Eichner78a,http://dx.doi.org/10.1007/BF00265679,,,,,,,,,,,,journalsactaSaxena96
2004-03-03,journalsactaLesleyF03,Nicole Lesley|Alan Fekete,,Providing view synchrony for group communication services.,159-210,2003,40,Acta Inf.,3,db/journals/acta/acta40.html#LesleyF03,http://dx.doi.org/10.1007/s00236-003-0129-4,,,,,,,,,,,,journalsactaSimon83
2011-01-11,journalsactaJosephs92,Mark B. Josephs,,Receptive Process Theory.,17-31,1992,29,Acta Inf.,1,db/journals/acta/acta29.html#Josephs92,http://dx.doi.org/10.1007/BF01178564,,,,,,,,,,,,journalsactaHesselink13
2015-02-04,journalsactaOlderog15,diger Olderog,,Letter from the Managing Editor.,1-2,2015,52,Acta Inf.,1,db/journals/acta/acta52.html#Olderog15,http://dx.doi.org/10.1007/s00236-014-0212-z,,,,,,,,,,,,journalsactaBlum82
2012-09-23,journalsactaLauerC77,Peter E. Lauer|Roy H. Campbell,,Addenda and Corrigenda: Formal Semantics of a Class of High-Level Primitives for Coordinating Concurrent Processes,325,1977,7,Acta Inf.,,db/journals/acta/acta7.html#LauerC77,http://dx.doi.org/10.1007/BF00290341,,,,,,see: Acta Informatika 5: 297-332 (1975),,,,,,journalsactaSaxena96
2008-11-18,journalsactaLink08,Sebastian Link,,Charting the completeness frontier of inference systems for multivalued dependencies.,565-591,2008,45,Acta Inf.,7-8,db/journals/acta/acta45.html#Link08,http://dx.doi.org/10.1007/s00236-008-0080-5,,,,,,,,,,,,journalsactaHesselink13
2011-01-11,journalsactaHromkovic83,Juraj Hromkovic,,On-Way Multihead Deterministic Finite Automata.,377-384,1983,19,Acta Inf.,,db/journals/acta/acta19.html#Hromkovic83,http://dx.doi.org/10.1007/BF00290734,,,,,,,,,,,,journalsactaHesselink13
2011-01-11,journalsactaBaeza-Yates89a,Ricardo A. Baeza-Yates,,The Expected Behaviour of B+-Trees.,439-471,1989,26,Acta Inf.,5,db/journals/acta/acta26.html#Baeza-Yates89a,http://dx.doi.org/10.1007/BF00289146,,,,,,,,,,,,journalsactaSaxena96
2003-11-25,journalsactaGlabbeekG01,Rob J. van Glabbeek|Ursula Goltz,,Refinement of actions and equivalence notions for concurrent systems.,229-327,2001,37,Acta Inf.,4/5,db/journals/acta/acta37.html#GlabbeekG01,http://link.springer.de/link/service/journals/00236/bibs/1037004/10370229.htm,,,,,,,,,,,,journalsactaHesselink13
2011-01-11,journalsactaWyrostek86,Piotr Wyrostek,,Precedence Technique is not Worse than SLR(1).,361-392,1986,23,Acta Inf.,4,db/journals/acta/acta23.html#Wyrostek86,http://dx.doi.org/10.1007/BF00267864,,,,,,,,,,,,journalsactaHesselink13
2011-01-11,journalsactaBergstraT83,Jan A. Bergstra|J. Terlouw,,Standard Model Semantics for DSL A Data Type Specification Language.,97-113,1983,19,Acta Inf.,,db/journals/acta/acta19.html#BergstraT83,http://dx.doi.org/10.1007/BF00263930,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaTaubnerV89,Dirk Taubner|Walter Vogler,,Step Failures Semantics and a Complete Proof System.,125-156,1989,27,Acta Inf.,2,db/journals/acta/acta27.html#TaubnerV89,http://dx.doi.org/10.1007/BF00265151,,,,,,,,,,,,journalsactaHonkala11
2005-12-14,journalsactaBettiniVB05,Lorenzo Bettini|Betti Venneri|Viviana Bono,,MOMI: a calculus for mobile mixins.,143-190,2005,42,Acta Inf.,2-3,db/journals/acta/acta42.html#BettiniVB05,http://dx.doi.org/10.1007/s00236-005-0176-0,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaDoberkat82,Ernst-Erich Doberkat,,Deleting the Root of a Heap.,245-265,1982,17,Acta Inf.,,db/journals/acta/acta17.html#Doberkat82,http://dx.doi.org/10.1007/BF00264353,,,,,,,,,,,,journalsactaHonkala11
2003-11-25,journalsactaBeauquierS98,le Beauquier|Anatol Slissenko,,Polytime Model Checking for Timed Probabilistic Computation Tree Logic.,645-664,1998,35,Acta Inf.,8,db/journals/acta/acta35.html#BeauquierS98,http://link.springer.de/link/service/journals/00236/bibs/8035008/80350645.htm,,,,,,,,,,,,journalsactaKhomenkoKKV06
2011-01-11,journalsactaDammJ83,Werner Damm|Bernhard Josko,,A Sound and Relatively * Complete Hoare-Logic for a Language With Higher Type Procedures.,59-101,1983,20,Acta Inf.,,db/journals/acta/acta20.html#DammJ83,http://dx.doi.org/10.1007/BF00264295,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaJancarMP96,Petr Jancar|z|tek,,Forgetting Automata and Context-Free Languages.,409-420,1996,33,Acta Inf.,5,db/journals/acta/acta33.html#JancarMP96,http://dx.doi.org/10.1007/s002360050050,,,,,,,,,,,,journalsactaSaxena96
2015-06-08,journalsactaBroy15,Manfred Broy,,A life dedicated to informatics: an obituary for Prof. Friedrich L. Bauer.,299-301,2015,52,Acta Inf.,4-5,db/journals/acta/acta52.html#Broy15,http://dx.doi.org/10.1007/s00236-015-0241-2,,,,,,,,,,,,journalsactaKhomenkoKKV06
2011-01-11,journalsactaPierreS89,Laurent Pierre|Sylviane R. Schwer,,Rational Index of Vector Addition Systems Languages.,503-525,1989,26,Acta Inf.,6,db/journals/acta/acta26.html#PierreS89,http://dx.doi.org/10.1007/BF00263577,,,,,,,,,,,,journalsactaSaxena96
2011-01-11,journalsactaNahapetian73,A. Nahapetian,,Node Flows in Graphs with Conservative Flow.,37-41,1973,3,Acta Inf.,,db/journals/acta/acta3.html#Nahapetian73,http://dx.doi.org/10.1007/BF00288650,,,,,,,,,,,,journalsactaHesselink13
