mdate,key,author,editor,title,pages,year,volume,journal,number,url,ee,address,booktitle,month,cdrom,publisher,note,crossref,isbn,series,school,chapter,cite
2011-01-11,journalsactaCalzarossaIS86,Maria Calzarossa|M. Italiani|Giuseppe Serazzi,,A Workload Model Representative of Static and Dynamic Characteristics.,255-266,1986,23,Acta Inf.,3,db/journals/acta/acta23.html#CalzarossaIS86,http://dx.doi.org/10.1007/BF00289113,,,,,,,,,,,,journalsactaBozapalidisFR12
2003-11-25,journalsactaVajnovszki02,Vincent Vajnovszki,,Gray visiting Motzkins.,793-811,2002,38,Acta Inf.,11/12,db/journals/acta/acta38.html#Vajnovszki02,http://link.springer.de/link/service/journals/00236/bibs/2038011/20380793.htm,,,,,,,,,,,,journalsactaSaxena96
2014-11-03,journalsactaVoglerS014,Walter Vogler|Christian Stahl|ller 0001,,Trace- and failure-based semantics for responsiveness.,499-552,2014,51,Acta Inf.,8,db/journals/acta/acta51.html#VoglerS014,http://dx.doi.org/10.1007/s00236-014-0205-y,,,,,,,,,,,,journalsactaKhomenkoKKV06
2011-01-11,journalsactaDevroye87,Luc Devroye,,Branching Processes in the Analysis of the Heights of Trees.,277-298,1987,24,Acta Inf.,3,db/journals/acta/acta24.html#Devroye87,http://dx.doi.org/10.1007/BF00265991,,,,,,,,,,,,journalsactaHesselink13
2011-01-11,journalsactaHuT72,T. C. Hu|K. C. Tan,,Least Upper Bound on the Cost of Optimum Binary Search Trees.,307-310,1972,1,Acta Inf.,,db/journals/acta/acta1.html#HuT72,http://dx.doi.org/10.1007/BF00289510,,,,,,,,,,,,journalsactaHonkala11
2011-01-11,journalsactaFranta76,William R. Franta,,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,187-209,1976,6,Acta Inf.,,db/journals/acta/acta6.html#Franta76,http://dx.doi.org/10.1007/BF00268500,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaKindler95,Ekkart Kindler,,Invariants| Composition| and Substitution.,299-312,1995,32,Acta Inf.,4,db/journals/acta/acta32.html#Kindler95,http://dx.doi.org/10.1007/BF01178381,,,,,,,,,,,,journalsactaHesselink13
2011-01-11,journalsactaKouvatsos86,Demetres D. Kouvatsos,,Queue.,545-565,1986,23,Acta Inf.,5,db/journals/acta/acta23.html#Kouvatsos86,http://dx.doi.org/10.1007/BF00288469,,,,,,,,,,,,journalsactaHesselink13
2003-11-25,journalsactaGorlatchL00,Sergei Gorlatch|Christian Lengauer,,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,761-803,2000,36,Acta Inf.,9/10,db/journals/acta/acta36.html#GorlatchL00,http://link.springer.de/link/service/journals/00236/bibs/0036009/00360761.htm,,,,,,,,,,,,journalsactaSimon83
2009-06-22,journalsactaMeyer09,Roland Meyer,,-Calculus.,87-137,2009,46,Acta Inf.,2,db/journals/acta/acta46.html#Meyer09,http://dx.doi.org/10.1007/s00236-009-0091-x,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaReisch81,Stefan Reisch,,ndig.,167-191,1981,15,Acta Inf.,,db/journals/acta/acta15.html#Reisch81,http://dx.doi.org/10.1007/BF00288964,,,,,,,,,,,,journalsactaMilner96
2003-11-25,journalsactaCsuhaj-VarjuM00,ú|Victor Mitrana,,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,913-926,2000,36,Acta Inf.,11,db/journals/acta/acta36.html#Csuhaj-VarjuM00,http://link.springer.de/link/service/journals/00236/bibs/0036011/00360913.htm,,,,,,,,,,,,journalsactaMilner96
2008-05-21,journalsactaJanicki08,Ryszard Janicki,,Relational structures model of concurrency.,279-320,2008,45,Acta Inf.,4,db/journals/acta/acta45.html#Janicki08,http://dx.doi.org/10.1007/s00236-008-0071-6,,,,,,,,,,,,journalsactaSaxena96
2011-01-11,journalsactaRussell77,Bruce Russell,,On an Equivalence between Continuation and Stack Semantics.,113-123,1977,8,Acta Inf.,,db/journals/acta/acta8.html#Russell77,http://dx.doi.org/10.1007/BF00289244,,,,,,,,,,,,journalsactaHesselink13
2011-01-11,journalsactaEhrenfeuchtR74,Andrzej Ehrenfeucht|Grzegorz Rozenberg,,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,265-283,1974,3,Acta Inf.,,db/journals/acta/acta3.html#EhrenfeuchtR74,http://dx.doi.org/10.1007/BF00288638,,,,,,,,,,,,journalsactaHesselink13
2011-01-11,journalsactaKemp80,Rainer Kemp,,A Note on the Density of Inherently Ambiguous Context-free Languages.,295-298,1980,14,Acta Inf.,,db/journals/acta/acta14.html#Kemp80,http://dx.doi.org/10.1007/BF00264258,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaHanI89,Yijie Han|Yoshihide Igarashi,,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,643-655,1989,26,Acta Inf.,7,db/journals/acta/acta26.html#HanI89,http://dx.doi.org/10.1007/BF00288975,,,,,,,,,,,,journalsactaSimon83
2011-01-11,journalsactaAkyildizB89,Ian F. Akyildiz|Horst von Brand,,Computational Algorithms for Networks of Queues with Rejection Blocking.,559-576,1989,26,Acta Inf.,6,db/journals/acta/acta26.html#AkyildizB89,http://dx.doi.org/10.1007/BF00263580,,,,,,,,,,,,journalsactaMilner96
2011-01-11,journalsactaChenM95,X. J. Chen|Carlo Montangero,,Compositional Refinements in Multiple Blackboard Systems.,415-458,1995,32,Acta Inf.,5,db/journals/acta/acta32.html#ChenM95,http://dx.doi.org/10.1007/BF01213078,,,,,,,,,,,,journalsactaSaxena96
2015-02-04,journalsactaGlabbeekGO15,Rob J. van Glabbeek|Ursula Goltz|diger Olderog,,part 1.,3-4,2015,52,Acta Inf.,1,db/journals/acta/acta52.html#GlabbeekGO15,http://dx.doi.org/10.1007/s00236-014-0213-y,,,,,,,,,,,,journalsactaHonkala11
2003-11-25,journalsactaSantone02,Antonella Santone,,Automatic verification of concurrent systems using a formula-based compositional approach.,531-564,2002,38,Acta Inf.,8,db/journals/acta/acta38.html#Santone02,http://link.springer.de/link/service/journals/00236/bibs/2038008/20380531.htm,,,,,,,,,,,,journalsactaMilner96
2011-01-11,journalsactaHehner78,Eric C. R. Hehner,,On Removing the Machine from the Language.,229-243,1978,10,Acta Inf.,,db/journals/acta/acta10.html#Hehner78,http://dx.doi.org/10.1007/BF00264318,,,,,,,,,,,,journalsactaHonkala11
2011-01-11,journalsactaChungES85,Moon-Jung Chung|Michael Evangelist|Ivan Hal Sudborough,,Complete Problems for Space Bounded Subclasses of NP.,379-395,1985,22,Acta Inf.,4,db/journals/acta/acta22.html#ChungES85,http://dx.doi.org/10.1007/BF00288774,,,,,,,,,,,,journalsactaHesselink13
2014-05-19,journalsactaBulychevDLL14,Peter E. Bulychev|Alexandre David|Kim G. Larsen|Guangyuan Li,,.,165-192,2014,51,Acta Inf.,3-4,db/journals/acta/acta51.html#BulychevDLL14,http://dx.doi.org/10.1007/s00236-013-0189-z,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaBuddA82,Timothy A. Budd|Dana Angluin,,Two Notions of Correctness and Their Relation to Testing.,31-45,1982,18,Acta Inf.,,db/journals/acta/acta18.html#BuddA82,http://dx.doi.org/10.1007/BF00625279,,,,,,,,,,,,journalsactaKhomenkoKKV06
2011-01-11,journalsactaMarkowsky81,George Markowsky,,Best Huffman Trees.,363-370,1981,16,Acta Inf.,,db/journals/acta/acta16.html#Markowsky81,http://dx.doi.org/10.1007/BF00289311,,,,,,,,,,,,journalsactaMilner96
2011-01-11,journalsactaStadel81,Manfred P. Stadel,,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,45-56,1981,16,Acta Inf.,,db/journals/acta/acta16.html#Stadel81,http://dx.doi.org/10.1007/BF00289589,,,,,,,,,,,,journalsactaSimon83
2011-01-11,journalsactaWatt77,David A. Watt,,The Parsing Problem for Affix Grammars.,1-20,1977,8,Acta Inf.,,db/journals/acta/acta8.html#Watt77,http://dx.doi.org/10.1007/BF00276181,,,,,,,,,,,,journalsactaHesselink13
2011-01-11,journalsactaAmerinsBW93,Paul S. Amerins|Ricardo A. Baeza-Yates|Derick Wood,,On Efficient Entreeings.,203-213,1993,30,Acta Inf.,3,db/journals/acta/acta30.html#AmerinsBW93,http://dx.doi.org/10.1007/BF01179370,,,,,,,,,,,,journalsactaHonkala11
2011-01-11,journalsactaMayr81,Ernst W. Mayr,,Persistence of Vector Replacement Systems is Decidable.,309-318,1981,15,Acta Inf.,,db/journals/acta/acta15.html#Mayr81,http://dx.doi.org/10.1007/BF00289268,,,,,,,,,,,,journalsactaMilner96
2011-01-11,journalsactaCulikD97,Karel Culik II|Simant Dube,,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,347-366,1997,34,Acta Inf.,5,db/journals/acta/acta34.html#CulikD97,http://dx.doi.org/10.1007/s002360050089,,,,,,,,,,,,journalsactaSaxena96
2011-01-11,journalsactaCremersH78a,Armin B. Cremers|Thomas N. Hibbard,,Functional Behavior in Data Spaces.,293-307,1978,9,Acta Inf.,,db/journals/acta/acta9.html#CremersH78a,http://dx.doi.org/10.1007/BF00289044,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaMitchell88,William P. R. Mitchell,,Inductive Completion with Retracts.,497-514,1988,25,Acta Inf.,5,db/journals/acta/acta25.html#Mitchell88,http://dx.doi.org/10.1007/BF00279951,,,,,,,,,,,,journalsactaSaxena96
2011-01-11,journalsactaCousotC87,Patrick Cousot|Radhia Cousot,,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,1-31,1987,24,Acta Inf.,1,db/journals/acta/acta24.html#CousotC87,http://dx.doi.org/10.1007/BF00290704,,,,,,,,,,,,journalsactaKhomenkoKKV06
2011-01-11,journalsactaMitraniH77,Isi Mitrani|J. H. Hine,,Complete Parameterized Families of Job Scheduling Strategies.,61-73,7,8,Acta Inf.,,db/journals/acta/acta8.html#MitraniH77,http://dx.doi.org/10.1007/BF00276184,,,,,,,,,,,,journalsactaBozapalidisFR12
2008-08-08,journalsactaMorrisT08,Joseph M. Morris|Malcolm Tyrrell,,Modelling higher-order dual nondeterminacy.,441-465,2008,45,Acta Inf.,6,db/journals/acta/acta45.html#MorrisT08,http://dx.doi.org/10.1007/s00236-008-0076-1,,,,,,,,,,,,journalsactaKhomenkoKKV06
2011-01-11,journalsactaNehmer75,rgen Nehmer,,Dispatcher Primitives for the Construction of Operating System Kernels.,237-255,1975,5,Acta Inf.,,db/journals/acta/acta5.html#Nehmer75,http://dx.doi.org/10.1007/BF00264560,,,,,,,,,,,,journalsactaBlum82
2003-11-25,journalsactaSavitch73,Walter J. Savitch,,A Note on Multihead Automata and Context-Sensitive Languages,249-252,1973,2,Acta Inf.,,db/journals/acta/acta2.html#Savitch73,,,,,,,,,,,,,journalsactaSaxena96
2011-01-11,journalsactaMeinke94,Karl Meinke,,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,329-340,1994,31,Acta Inf.,4,db/journals/acta/acta31.html#Meinke94,http://dx.doi.org/10.1007/BF01178510,,,,,,,,,,,,journalsactaBozapalidisFR12
2011-01-11,journalsactaEngelfrietHL94,Joost Engelfriet|Linda Heyker|George Leih,,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,341-378,1994,31,Acta Inf.,4,gelfrietHL94,http://dx.doi.org/10.1007/BF01178511,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaChowdhuryS87,Shyamal K. Chowdhury|Pradip K. Srimani,,Worst Case Performance of Weighted Buddy Systems.,555-564,1987,24,Acta Inf.,5,db/journals/acta/acta24.html#ChowdhuryS87,http://dx.doi.org/10.1007/BF00263294,,,,,,,,,,,,journalsactaHonkala11
2011-01-11,journalsactaMontanariR95,Ugo Montanari|Francesca Rossi,,Contextual Nets.,545-596,1995,32,Acta Inf.,6,db/journals/acta/acta32.html#MontanariR95,http://dx.doi.org/10.1007/BF01178907,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaLauerTS79,Peter E. Lauer|Piero R. Torrigiani|M. W. Shields,,COSY - A System Specification Language Based on Paths and Processes.,109-158,1979,12,Acta Inf.,,db/journals/acta/acta12.html#LauerTS79,http://dx.doi.org/10.1007/BF00266047,,,,,,,,,,,,journalsactaHonkala11
2008-05-21,journalsactaBerghammer08,Rudolf Berghammer,,Applying relation algebra and Rel View to solve problems on orders and lattices.,211-236,2008,45,Acta Inf.,3,db/journals/acta/acta45.html#Berghammer08,http://dx.doi.org/10.1007/s00236-008-0072-5,,,,,,,,,,,,journalsactaSaxena96
2011-01-11,journalsactaPager77,David Pager,,Eliminating Unit Productions from LR Parsers.,31-59,1977,9,Acta Inf.,,db/journals/acta/acta9.html#Pager77,00263764,,,,,,,,,,,,journalsactaSaxena96
2011-01-11,journalsactaLippsMOW88,Peter Lipps|ncke|Matthias Olk|Reinhard Wilhelm,,Attribute (Re)evaluation in OPTRAN.,213-239,1988,26,Acta Inf.,3,db/journals/acta/acta26.html#LippsMOW88,http://dx.doi.org/10.1007/BF00299633,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaRajasekaranS92,Sanguthevar Rajasekaran|Sandeep Sen,,On Parallel Integer Sorting.,1-15,1992,29,Acta Inf.,1,db/journals/acta/acta29.html#RajasekaranS92,http://dx.doi.org/10.1007/BF01178563,,,,,,,,,,,,journalsactaSimon83
2011-01-11,journalsactaHullS94,Richard Hull|Jianwen Su,,Domain Independence and the Relational Calculus.,513-524,1994,31,Acta Inf.,6,db/journals/acta/acta31.html#HullS94,http://dx.doi.org/10.1007/BF01213204,,,,,,,,,,,,journalsactaKhomenkoKKV06
2011-01-11,journalsactaLeeF96,John K. Lee|Alan Fekete,,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,131-152,1996,33,Acta Inf.,2,db/journals/acta/acta33.html#LeeF96,http://dx.doi.org/10.1007/s002360050038,,,,,,,,,,,,journalsactaSaxena96
2011-01-11,journalsactaLaurinolli78,Teuvo Laurinolli,,Bounded Quantification and Relations Recognizable by Finite Automata.,67-78,1978,10,Acta Inf.,,db/journals/acta/acta10.html#Laurinolli78,g/10.1007/BF00260924,,,,,,,,,,,,journalsactaMilner96
2003-11-25,journalsactaLeavensP00,Gary T. Leavens|Don Pigozzi,,A Complete Algebraic Characterization of Behavioral Subtyping.,617-663,2000,36,Acta Inf.,8,db/journals/acta/acta36.html#LeavensP00,http://link.springer.de/link/service/journals/00236/bibs/0036008/00360617.htm,,,,,,,,,,,,journalsactaSimon83
2011-01-11,journalsactaLiangC97,Y. Daniel Liang|Maw-Shang Chang,,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,337-346,1997,34,Acta Inf.,5,db/journals/acta/acta34.html#LiangC97,http://dx.doi.org/10.1007/s002360050088,,,,,,,,,,,,journalsactaSimon83
2011-01-11,journalsactaBernotBK94,Gilles Bernot|Michel Bidoit|Teodor Knapik,,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,651-671,1994,31,Acta Inf.,7,db/journals/acta/acta31.html#BernotBK94,http://dx.doi.org/10.1007/BF01177550,,,,,,,,,,,,journalsactaKhomenkoKKV06
2012-04-26,journalsactaBergstraM12,Jan A. Bergstra|C. A. Middelburg,,Instruction sequence processing operators.,139-172,2012,49,Acta Inf.,3,db/journals/acta/acta49.html#BergstraM12,http://dx.doi.org/10.1007/s00236-012-0154-2,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaDrabent95,Wlodzimierz Drabent,,What is Failure? An Approach to Constructive Negation.,27-29,1995,32,Acta Inf.,1,db/journals/acta/acta32.html#Drabent95,http://dx.doi.org/10.1007/BF01185404,,,,,,,,,,,,journalsactaKhomenkoKKV06
2010-01-04,journalsactaKhomenkoSVW09,Victor Khomenko|fer|Walter Vogler|Ralf Wollowski,,STG decomposition strategies in combination with unfolding.,433-474,2009,46,Acta Inf.,6,db/journals/acta/acta46.html#KhomenkoSVW09,http://dx.doi.org/10.1007/s00236-009-0102-y,,,,,,,,,,,,journalsactaKhomenkoKKV06
2011-01-11,journalsactaFinkelB74,Raphael A. Finkel|Jon Louis Bentley,,Quad Trees: A Data Structure for Retrieval on Composite Keys.,1-9,1974,4,Acta Inf.,,db/journals/acta/acta4.html#FinkelB74,http://dx.doi.org/10.1007/BF00288933,,,,,,,,,,,,journalsactaHonkala11
2011-01-11,journalsactaSchmitt83,Alfred Schmitt,,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,297-304,1983,19,Acta Inf.,,db/journals/acta/acta19.html#Schmitt83,http://dx.doi.org/10.1007/BF00265560,,,,,,,,,,,,journalsactaHesselink13
2011-01-11,journalsactaLabetoulleP76,Jacques Labetoulle|Guy Pujolle,,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,183-195,1976,7,Acta Inf.,,db/journals/acta/acta7.html#LabetoulleP76,http://dx.doi.org/10.1007/BF00265770,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaPritchard82,Paul Pritchard,,Explaining the Wheel Sieve.,477-485,1982,17,Acta Inf.,,db/journals/acta/acta17.html#Pritchard82,http://dx.doi.org/10.1007/BF00264164,,,,,,,,,,,,journalsactaHesselink13
2011-01-11,journalsactaMoenck76,Robert T. Moenck,,Another Polynomial Homomorphism.,153-169,1976,6,Acta Inf.,,db/journals/acta/acta6.html#Moenck76,http://dx.doi.org/10.1007/BF00268498,,,,,,,,,,,,journalsactaSimon83
2011-01-11,journalsactaHeidelberger80,Philip Heidelberger,,Variance Reduction Techniques for the Simulation of Markov Process.,21-37,1980,13,Acta Inf.,,db/journals/acta/acta13.html#Heidelberger80,http://dx.doi.org/10.1007/BF00288533,,,,,,,,,,,,journalsactaSaxena96
2011-01-11,journalsactaBublitz86,Siegfried Bublitz,,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,689-696,1986,23,Acta Inf.,6,db/journals/acta/acta23.html#Bublitz86,http://dx.doi.org/10.1007/BF00264314,,,,,,,,,,,,journalsactaKhomenkoKKV06
2013-06-06,journalsactaNagyO13,Benedek Nagy|Friedrich Otto,,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,229-255,2013,50,Acta Inf.,4,db/journals/acta/acta50.html#NagyO13,http://dx.doi.org/10.1007/s00236-012-0175-x,,,,,,,,,,,,journalsactaHonkala11
2011-01-11,journalsactaPaun93,Gheorghe Paun,,On the Synchronization in Parallel Communicating Grammar Systems.,351-367,1993,30,Acta Inf.,4,db/journals/acta/acta30.html#Paun93,//dx.doi.org/10.1007/BF01209710,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaSchuler74,P. F. Schuler,,Weakly Context-Sensitive Languages as Model for Programming Languages.,155-170,1974,3,Acta Inf.,,db/journals/acta/acta3.html#Schuler74,http://dx.doi.org/10.1007/BF00264035,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaErnst77,George W. Ernst,,Rules of Inference for Procedure Calls.,145-152,1977,8,Acta Inf.,,db/journals/acta/acta8.html#Ernst77,http://dx.doi.org/10.1007/BF00289246,,,,,,,,,,,,journalsactaHesselink13
2011-01-11,journalsactaPfaff83,nther E. Pfaff,,The Construction of Operator Interfaces Based on Logical Input Devices.,151-166,1983,19,Acta Inf.,,db/journals/acta/acta19.html#Pfaff83,http://dx.doi.org/10.1007/BF00264473,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaEngelfrietV88,Joost Engelfriet|Heiko Vogler,,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,131-192,1988,26,Acta Inf.,1/2,db/journals/acta/acta26.html#EngelfrietV88,http://dx.doi.org/10.1007/BF02915449,,,,,,,,,,,,journalsactaHonkala11
2011-01-11,journalsactaReisch80,Stefan Reisch,,ndig.,59-66,1980,13,Acta Inf.,,db/journals/acta/acta13.html#Reisch80,http://dx.doi.org/10.1007/BF00288536,,,,,,,,,,,,journalsactaHesselink13
2010-10-24,journalsactaFanHSC10,Chen-Ming Fan|Cheng-Chih Huang|Shyr|Kuo-Hsiang Chen,,A note on autodense related languages.,209-219,2010,47,Acta Inf.,4,db/journals/acta/acta47.html#FanHSC10,http://dx.doi.org/10.1007/s00236-010-0116-5,,,,,,,,,,,,journalsactaMilner96
2006-11-22,journalsactaPanA06,Linqiang Pan|Artiom Alhazov,,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,131-145,2006,43,Acta Inf.,2,db/journals/acta/acta43.html#PanA06,http://dx.doi.org/10.1007/s00236-006-0018-8,,,,,,,,,,,,journalsactaKhomenkoKKV06
2015-05-21,journalsactaKumarM96,Akhil Kumar 0001|Kavindra Malik,,Optimizing the Costs of Hierarchical Quorum Consensus.,255-275,1996,33,Acta Inf.,3,db/journals/acta/acta33.html#KumarM96,http://dx.doi.org/10.1007/s002360050043,,,,,,,,,,,,journalsactaHonkala11
2008-01-15,journalsactaHaddadP07,Serge Haddad|Denis Poitrenaud,,Recursive Petri nets.,463-508,2007,44,Acta Inf.,7-8,db/journals/acta/acta44.html#HaddadP07,http://dx.doi.org/10.1007/s00236-007-0055-y,,,,,,,,,,,,journalsactaHesselink13
2011-01-11,journalsactaGaverH76,Donald P. Gaver|George Humfeld,,Multitype Multiprogramming Models.,111-121,1976,7,Acta Inf.,,db/journals/acta/acta7.html#GaverH76,http://dx.doi.org/10.1007/BF00265765,,,,,,,,,,,,journalsactaMilner96
2011-01-11,journalsactaLevy74,vy,,tax-Errors in Programming Languages.,271-292,1974,4,Acta Inf.,,db/journals/acta/acta4.html#Levy74,http://dx.doi.org/10.1007/BF00288730,,,,,,,,,,,,journalsactaBlum82
2006-11-22,journalsactaKonstantinidisSY07,Stavros Konstantinidis|Nicolae Santean|Sheng Yu,,Representation and uniformization of algebraic transductions.,395-417,2007,43,Acta Inf.,6,db/journals/acta/acta43.html#KonstantinidisSY07,http://dx.doi.org/10.1007/s00236-006-0027-7,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaBestDKP91,Eike Best|Raymond R. Devillers|Astrid Kiehn|Lucia Pomello,,Concurrent Bisimulations in Petri Nets.,231-264,1991,28,Acta Inf.,3,db/journals/acta/acta28.html#BestDKP91,http://dx.doi.org/10.1007/BF01178506,,,,,,,,,,,,journalsactaHonkala11
2005-12-14,journalsactaButtner05,ttner,,Enhanced prefetching and caching strategies for single- and multi-disk systems.,21-42,2005,42,Acta Inf.,1,db/journals/acta/acta42.html#Buttner05,http://dx.doi.org/10.1007/s00236-005-0170-6,,,,,,,,,,,,journalsactaSaxena96
2011-01-11,journalsactaEhrenfeuchtHR88,Andrzej Ehrenfeucht|Hendrik Jan Hoogeboom|Grzegorz Rozenberg,,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,203-231,1988,25,Acta Inf.,2,db/journals/acta/acta25.html#EhrenfeuchtHR88,7/BF00263585,,,,,,,,,,,,journalsactaMilner96
2015-03-19,journalsactaBestD15a,Eike Best|Raymond R. Devillers,,State space axioms for T-systems.,133-152,2015,52,Acta Inf.,2-3,db/journals/acta/acta52.html#BestD15a,http://dx.doi.org/10.1007/s00236-015-0219-0,,,,,,,,,,,,journalsactaMilner96
